CGPA,Aptitude_Score,Programming_Skill,Data_Structures_Skill,Communication_Rating,Public_Speaking,Creative_Thinking,Recommended_Role
7.08,90.7,7.7,7.5,7.0,5.4,2.9,Cyber Security Analyst
7.7,54.5,2.8,2.8,9.7,7.1,9.5,UI/UX Designer
8.69,71.8,8.4,8.6,4.3,4.6,7.6,Data Scientist
8.28,88.7,9.6,8.9,5.5,2.7,6.0,Full-Stack Developer
7.7,81.6,6.8,5.9,6.4,4.6,5.4,Cyber Security Analyst
7.7,88.2,8.6,8.9,7.1,3.0,6.7,Data Scientist
6.4,74.1,7.5,8.2,7.7,4.9,4.1,Cloud Engineer
8.45,72.7,8.7,6.9,7.6,2.8,7.4,Data Scientist
6.23,73.9,1.8,3.5,9.6,9.7,9.6,Product Manager
6.86,64.4,9.9,8.4,3.9,4.4,7.1,Full-Stack Developer
6.6,60.1,3.3,2.8,9.2,6.9,9.1,UI/UX Designer
6.74,73.9,4.6,4.3,10.0,9.0,8.6,Product Manager
8.55,90.6,8.2,9.6,6.5,4.0,8.1,Data Scientist
6.7,76.9,6.8,6.4,6.2,4.8,6.7,Cloud Engineer
9.55,92.1,6.3,8.0,5.3,4.8,5.1,Cyber Security Analyst
9.73,92.6,8.6,9.0,4.8,1.7,6.4,Data Scientist
7.23,92.5,7.3,4.1,6.0,5.4,3.2,Cyber Security Analyst
7.23,58.0,9.2,9.2,5.5,5.4,4.6,Full-Stack Developer
8.42,93.0,8.8,7.9,5.7,5.5,7.0,Data Scientist
7.85,90.3,7.4,5.8,6.7,4.7,5.9,Cloud Engineer
8.22,60.7,4.4,1.5,9.6,6.9,9.3,UI/UX Designer
7.55,69.5,10.0,8.8,5.1,3.0,6.1,Full-Stack Developer
7.7,77.2,9.5,8.3,5.1,3.2,7.2,Data Scientist
7.61,50.8,4.4,4.7,9.0,8.9,8.7,UI/UX Designer
6.2,72.1,4.6,3.2,9.0,9.9,8.8,Product Manager
7.35,66.4,7.7,4.7,7.8,6.3,5.3,Cloud Engineer
9.08,59.3,9.0,7.9,4.4,2.1,4.5,Full-Stack Developer
8.48,78.0,7.9,6.8,6.4,5.9,6.4,Cyber Security Analyst
7.65,88.6,5.9,7.8,6.7,5.0,6.8,Cloud Engineer
7.29,49.1,2.2,1.0,9.2,8.4,9.2,UI/UX Designer
5.51,50.3,3.5,1.3,9.9,7.8,10.0,UI/UX Designer
8.16,82.2,7.1,8.0,6.9,3.8,4.1,Cloud Engineer
8.34,87.7,8.2,8.2,5.3,4.3,5.9,Data Scientist
7.85,78.9,5.6,5.2,6.6,7.6,5.6,Cloud Engineer
8.04,63.7,4.1,2.5,8.1,8.9,9.3,UI/UX Designer
8.79,84.8,9.7,9.5,7.0,4.1,8.2,Data Scientist
8.37,94.1,8.1,8.9,5.5,5.5,5.5,Cyber Security Analyst
9.22,91.0,8.2,7.8,6.4,3.7,7.2,Data Scientist
7.33,63.2,3.2,2.3,9.2,8.3,9.0,UI/UX Designer
7.61,88.2,9.0,5.9,5.5,4.0,7.4,Data Scientist
9.29,71.6,9.4,9.4,4.1,4.3,7.0,Full-Stack Developer
7.5,71.4,6.7,6.2,8.5,6.9,3.0,Cloud Engineer
7.5,60.8,9.4,9.0,5.9,4.4,5.4,Full-Stack Developer
8.64,94.3,8.1,6.9,5.8,4.7,3.6,Cyber Security Analyst
8.08,71.9,9.8,8.8,5.0,3.5,7.4,Full-Stack Developer
9.73,89.6,8.9,4.0,7.0,3.7,5.4,Cyber Security Analyst
7.6,90.3,7.7,9.0,5.2,5.8,6.9,Data Scientist
6.93,70.8,10.0,9.3,3.7,1.8,4.8,Full-Stack Developer
7.64,77.9,8.6,8.3,4.6,2.6,3.3,Full-Stack Developer
7.89,86.6,6.9,5.7,7.8,5.6,5.5,Cloud Engineer
9.02,95.1,9.3,8.0,4.1,4.0,6.9,Data Scientist
7.42,63.6,4.8,4.3,9.7,8.7,8.5,Product Manager
7.59,50.8,2.3,3.6,8.7,6.8,9.5,UI/UX Designer
7.52,72.1,8.8,8.2,5.8,4.6,6.5,Full-Stack Developer
8.36,73.0,3.2,3.7,9.5,10.0,8.9,Product Manager
7.74,67.4,9.3,8.4,5.3,3.9,5.2,Full-Stack Developer
8.66,62.9,9.7,8.8,6.7,5.5,6.6,Full-Stack Developer
8.15,87.0,6.4,7.0,7.2,4.5,4.8,Cloud Engineer
8.94,52.6,3.6,3.0,9.1,7.4,9.5,UI/UX Designer
8.19,70.2,9.5,9.5,5.1,3.6,6.1,Full-Stack Developer
8.04,82.6,6.4,5.8,7.1,3.0,4.5,Cyber Security Analyst
7.34,63.9,10.0,8.6,6.9,3.9,6.3,Full-Stack Developer
7.02,68.4,2.6,2.5,9.9,8.9,8.2,Product Manager
8.22,80.4,6.0,8.5,6.8,7.1,5.8,Cloud Engineer
8.09,56.4,3.2,3.9,9.9,8.9,7.6,Product Manager
8.22,99.7,6.3,7.3,4.3,4.7,3.7,Cyber Security Analyst
7.43,65.0,9.4,9.3,5.3,4.0,4.5,Full-Stack Developer
6.57,57.1,3.3,4.0,8.1,7.1,10.0,UI/UX Designer
9.07,90.0,7.6,6.2,5.1,3.3,4.6,Cyber Security Analyst
8.69,83.9,8.4,8.0,4.0,4.3,8.0,Data Scientist
7.5,55.0,4.3,2.0,9.8,7.0,9.8,UI/UX Designer
5.67,52.5,4.8,1.7,9.1,6.2,9.7,UI/UX Designer
8.6,73.2,4.6,2.7,10.0,8.2,8.8,UI/UX Designer
7.36,61.8,3.8,2.3,9.3,6.3,8.7,UI/UX Designer
8.65,67.4,3.7,1.5,8.6,6.5,9.3,UI/UX Designer
9.21,54.7,1.5,2.4,9.1,7.6,9.3,UI/UX Designer
7.4,46.8,3.9,3.8,8.6,8.2,10.0,UI/UX Designer
7.64,74.2,6.5,6.5,8.4,6.0,6.2,Cloud Engineer
7.6,73.7,4.9,3.1,9.4,9.1,8.9,Product Manager
7.74,88.0,7.6,7.8,3.8,5.0,6.5,Cloud Engineer
5.99,75.5,9.5,8.4,4.6,5.0,5.7,Full-Stack Developer
8.24,74.8,9.1,8.3,3.4,1.9,3.8,Full-Stack Developer
6.1,65.1,3.2,1.5,7.6,6.5,9.8,UI/UX Designer
7.46,87.6,7.6,6.6,5.1,5.7,6.1,Cyber Security Analyst
7.69,69.3,10.0,8.4,6.1,3.8,6.4,Full-Stack Developer
7.74,62.1,3.5,4.9,8.7,9.6,10.0,UI/UX Designer
8.39,82.6,8.6,8.7,5.9,5.5,5.9,Cloud Engineer
7.3,84.9,9.8,9.3,3.8,5.4,5.2,Full-Stack Developer
6.8,68.0,3.8,1.9,9.6,8.1,8.2,Product Manager
9.13,61.7,2.1,2.3,8.2,8.3,8.4,UI/UX Designer
8.29,74.1,8.6,6.5,6.6,5.8,6.9,Cloud Engineer
7.97,63.7,4.9,1.0,8.2,8.9,9.0,UI/UX Designer
8.14,94.2,8.2,6.2,5.8,6.6,4.6,Cyber Security Analyst
6.65,70.8,3.3,2.6,9.3,8.9,9.0,Product Manager
6.06,80.8,5.6,5.2,6.2,7.1,5.7,Cloud Engineer
6.85,71.5,4.6,2.4,8.9,7.7,9.4,UI/UX Designer
7.11,55.2,1.6,3.2,8.4,7.4,8.5,UI/UX Designer
7.69,81.0,7.9,7.1,5.8,4.1,7.2,Data Scientist
7.34,93.0,8.1,6.3,7.6,5.0,6.3,Cyber Security Analyst
7.5,70.9,5.0,4.2,9.5,9.9,9.1,Product Manager
7.61,66.5,9.2,9.2,5.0,4.1,6.1,Full-Stack Developer
8.23,68.9,9.7,8.6,5.9,4.2,4.6,Full-Stack Developer
6.8,100.0,7.3,9.0,6.5,4.6,3.6,Cyber Security Analyst
4.98,51.6,3.2,4.0,8.5,9.1,9.6,UI/UX Designer
6.35,73.5,4.3,3.1,9.3,8.6,9.3,Product Manager
8.38,63.3,8.6,8.6,5.0,4.4,6.1,Full-Stack Developer
8.41,71.5,9.0,8.1,4.9,4.1,6.9,Full-Stack Developer
6.9,54.3,2.9,3.8,8.8,6.4,10.0,UI/UX Designer
8.14,73.4,8.7,10.0,4.8,4.2,7.5,Data Scientist
8.03,72.0,9.1,8.4,4.9,4.6,6.9,Full-Stack Developer
8.09,74.1,3.1,1.6,10.0,8.8,9.0,Product Manager
8.12,76.0,8.0,7.2,7.3,4.6,4.7,Cloud Engineer
7.92,61.6,5.2,4.4,10.0,9.1,9.4,Product Manager
8.83,61.0,3.7,3.3,8.9,8.7,8.8,Product Manager
5.8,70.9,3.2,3.3,9.1,6.9,10.0,UI/UX Designer
7.05,66.5,7.0,7.8,6.6,5.5,5.0,Cloud Engineer
7.63,76.1,3.7,5.0,9.7,10.0,9.2,Product Manager
6.41,85.7,8.3,6.8,5.3,6.5,5.3,Cyber Security Analyst
8.77,83.7,7.9,6.9,5.7,6.0,5.9,Cyber Security Analyst
7.87,100.0,6.8,6.6,6.0,5.8,6.6,Cyber Security Analyst
7.69,74.4,9.3,8.9,4.0,3.7,5.2,Full-Stack Developer
7.03,83.9,6.1,5.2,5.6,5.1,5.9,Cloud Engineer
6.34,83.3,10.0,9.2,3.8,4.6,6.2,Full-Stack Developer
8.12,58.2,4.5,4.2,8.8,9.9,8.0,Product Manager
8.64,97.8,9.7,7.0,6.2,5.5,3.0,Cyber Security Analyst
8.3,95.5,8.9,6.2,5.1,4.2,4.9,Cyber Security Analyst
5.99,59.7,1.7,1.5,9.7,7.5,9.2,UI/UX Designer
7.14,59.7,9.3,8.8,4.7,5.0,5.6,Full-Stack Developer
8.44,85.2,7.7,6.8,5.1,4.8,5.1,Cyber Security Analyst
6.03,62.9,3.1,2.5,9.8,8.4,8.4,Product Manager
8.38,81.2,6.4,6.0,4.5,6.0,4.8,Cloud Engineer
8.17,85.6,9.3,7.9,6.7,4.6,3.8,Cyber Security Analyst
8.38,82.8,7.6,5.5,5.7,5.1,6.9,Cloud Engineer
6.26,55.6,2.2,1.8,9.4,9.4,8.3,Product Manager
5.22,48.1,4.5,2.5,8.5,6.9,9.2,UI/UX Designer
8.84,82.0,8.0,5.4,4.8,4.5,4.8,Cyber Security Analyst
7.12,75.8,5.3,3.2,8.3,9.1,7.3,Product Manager
9.18,80.1,7.2,8.4,5.4,3.9,6.5,Data Scientist
7.25,70.2,9.1,8.9,3.8,3.7,4.8,Full-Stack Developer
7.97,73.4,9.7,10.0,5.3,4.9,5.5,Full-Stack Developer
8.72,89.8,8.5,9.0,6.5,5.5,7.2,Data Scientist
8.2,75.1,7.6,7.9,7.7,3.9,6.1,Cloud Engineer
8.89,88.8,8.5,6.5,5.7,4.6,8.6,Data Scientist
8.22,81.8,9.1,7.1,4.9,4.5,7.0,Data Scientist
7.73,100.0,7.5,6.4,7.9,3.1,4.4,Cyber Security Analyst
6.86,67.6,9.0,8.0,2.4,2.9,6.2,Full-Stack Developer
6.34,61.0,3.7,4.0,9.0,9.0,8.9,Product Manager
6.85,79.2,5.1,7.0,6.3,6.4,7.3,Cloud Engineer
6.55,61.4,2.5,3.4,9.0,8.2,9.5,UI/UX Designer
8.91,82.0,6.7,6.6,5.0,6.0,5.2,Cloud Engineer
9.26,92.2,7.1,8.1,4.7,4.3,7.9,Data Scientist
9.49,79.6,8.2,8.0,4.2,5.7,8.0,Data Scientist
6.93,65.3,2.5,3.9,9.2,7.9,8.7,UI/UX Designer
7.31,82.0,8.2,6.4,6.2,5.5,5.4,Cyber Security Analyst
8.23,95.6,7.6,4.6,4.8,4.8,6.0,Cyber Security Analyst
6.56,62.5,3.0,3.3,8.8,8.5,10.0,UI/UX Designer
5.92,58.1,4.2,2.2,8.9,5.8,10.0,UI/UX Designer
7.42,68.0,2.7,3.4,8.4,8.4,9.1,UI/UX Designer
6.96,63.1,4.4,6.1,10.0,9.4,9.0,Product Manager
6.78,84.7,3.9,3.4,9.4,8.4,9.0,Product Manager
8.49,91.3,5.9,6.2,6.9,5.8,5.9,Cloud Engineer
7.41,63.7,9.6,10.0,5.3,4.9,5.3,Full-Stack Developer
7.95,91.2,6.2,4.7,7.5,6.3,5.4,Cloud Engineer
8.5,83.4,8.2,7.9,8.2,6.0,5.8,Cloud Engineer
6.73,57.4,10.0,9.4,5.2,4.9,5.7,Full-Stack Developer
6.26,61.8,3.8,2.3,9.1,7.7,9.3,UI/UX Designer
7.28,98.6,6.7,6.7,5.9,3.6,2.7,Cyber Security Analyst
7.15,64.9,8.9,9.1,4.1,5.9,4.2,Full-Stack Developer
7.12,73.1,3.2,4.7,9.3,9.7,8.2,Product Manager
8.69,94.3,7.2,5.8,6.0,5.1,2.7,Cyber Security Analyst
7.98,57.0,4.8,2.1,9.3,8.7,7.3,Product Manager
7.65,73.4,7.1,5.7,7.4,4.9,6.5,Cloud Engineer
9.05,84.9,8.4,8.2,4.2,4.6,6.8,Data Scientist
8.7,67.2,10.0,9.1,4.9,2.1,5.2,Full-Stack Developer
8.8,60.9,8.2,6.1,5.6,5.7,3.9,Cloud Engineer
6.85,69.7,9.3,8.9,2.2,2.1,6.1,Full-Stack Developer
6.34,57.6,3.6,2.6,10.0,8.4,8.8,UI/UX Designer
8.24,86.5,5.1,8.2,6.9,5.0,6.3,Cyber Security Analyst
7.3,63.5,10.0,8.7,4.0,4.7,4.7,Full-Stack Developer
8.04,86.9,8.3,6.9,5.4,3.3,5.5,Data Scientist
7.29,97.9,7.1,7.6,6.9,5.3,4.1,Cyber Security Analyst
9.58,84.9,9.4,7.1,5.2,5.7,5.7,Data Scientist
7.7,80.0,9.3,8.7,3.8,1.0,7.1,Full-Stack Developer
5.98,61.3,2.0,3.1,10.0,8.7,9.0,Product Manager
6.98,52.4,2.6,3.0,9.0,6.9,9.2,UI/UX Designer
9.5,90.2,8.3,7.9,6.4,5.7,4.6,Data Scientist
8.48,78.5,9.9,9.9,5.1,3.6,6.7,Full-Stack Developer
6.41,80.9,3.5,2.5,9.5,8.8,8.7,Product Manager
8.24,86.6,7.9,7.5,6.1,3.9,5.5,Cloud Engineer
6.94,74.5,9.9,8.8,5.6,5.4,4.8,Full-Stack Developer
7.74,97.2,7.2,7.0,5.9,5.7,3.8,Cyber Security Analyst
6.95,66.7,5.4,3.7,10.0,8.2,8.9,Product Manager
8.28,83.4,8.1,8.3,6.2,3.9,8.8,Data Scientist
7.02,71.1,4.4,3.7,10.0,10.0,8.1,Product Manager
8.9,73.0,6.6,6.5,6.7,4.9,3.9,Cloud Engineer
8.04,87.2,8.1,7.2,5.9,3.8,6.4,Data Scientist
7.19,100.0,7.9,6.5,5.1,4.8,5.2,Cyber Security Analyst
6.69,57.6,9.8,10.0,4.3,4.0,4.2,Full-Stack Developer
8.29,77.4,8.4,5.8,6.5,6.0,6.9,Cloud Engineer
7.44,85.2,8.6,5.5,7.1,5.2,4.5,Cyber Security Analyst
7.44,100.0,7.7,6.5,7.8,5.6,5.4,Cyber Security Analyst
7.89,85.7,6.9,5.5,4.6,4.1,3.3,Cyber Security Analyst
7.88,100.0,7.7,6.0,6.6,6.6,6.8,Data Scientist
7.64,82.6,8.3,6.5,7.1,4.9,6.9,Cloud Engineer
7.66,66.6,4.3,3.8,9.6,8.4,7.8,Product Manager
6.89,49.0,3.9,3.4,9.2,6.9,9.2,UI/UX Designer
8.26,61.9,4.9,2.5,8.5,7.2,9.0,UI/UX Designer
7.88,91.9,8.0,8.4,4.7,5.9,5.3,Cyber Security Analyst
6.83,66.6,9.3,8.0,5.8,4.2,6.3,Full-Stack Developer
6.75,68.3,9.9,10.0,5.3,2.8,5.1,Full-Stack Developer
7.29,72.7,3.6,3.6,9.2,8.9,7.5,Product Manager
6.26,63.6,4.4,3.9,8.8,8.1,9.8,UI/UX Designer
8.19,58.9,3.0,1.1,8.5,8.4,8.7,UI/UX Designer
8.28,90.0,6.3,6.7,5.4,5.7,4.2,Cyber Security Analyst
5.79,65.1,3.7,3.3,9.1,8.9,7.3,Product Manager
7.39,90.7,7.8,8.4,5.4,4.6,4.3,Cyber Security Analyst
7.79,77.1,8.5,8.5,3.2,2.9,4.5,Full-Stack Developer
7.58,91.3,8.7,8.0,5.4,5.3,4.3,Cyber Security Analyst
8.1,43.3,4.2,4.3,9.1,8.7,10.0,UI/UX Designer
6.83,98.0,7.4,6.7,5.1,6.8,6.1,Cyber Security Analyst
9.15,81.7,8.0,5.3,6.5,6.3,5.3,Cloud Engineer
8.01,68.9,9.7,9.1,3.6,3.4,6.0,Full-Stack Developer
6.21,67.9,4.5,3.5,9.3,8.8,7.9,Product Manager
7.04,47.4,2.8,3.9,8.3,7.4,9.3,UI/UX Designer
7.19,66.6,3.6,3.8,9.6,9.0,8.8,Product Manager
8.02,62.5,4.8,4.0,9.5,8.8,9.0,Product Manager
7.73,67.3,9.9,9.4,5.1,4.2,7.6,Full-Stack Developer
9.16,90.5,6.5,6.7,6.3,5.8,2.7,Cyber Security Analyst
6.97,70.8,9.8,9.8,4.7,3.5,5.9,Full-Stack Developer
7.25,68.5,2.8,2.8,8.8,9.6,9.3,Product Manager
8.39,92.2,6.2,5.5,6.0,6.1,3.4,Cloud Engineer
7.82,81.7,8.0,7.6,8.6,3.2,4.6,Cloud Engineer
6.78,58.4,3.8,1.6,9.2,8.6,8.6,Product Manager
7.37,63.2,9.3,9.6,6.1,4.4,6.3,Full-Stack Developer
7.18,82.9,7.8,5.2,4.7,4.0,2.9,Cyber Security Analyst
8.8,74.2,8.8,7.4,7.7,4.6,7.8,Data Scientist
7.74,71.8,3.2,4.3,8.9,9.6,8.4,Product Manager
6.72,65.2,4.5,4.1,9.8,8.7,8.5,Product Manager
8.91,91.4,5.5,6.7,7.2,5.6,5.4,Cyber Security Analyst
7.09,53.0,3.9,3.9,9.3,7.1,9.9,UI/UX Designer
8.26,81.8,5.9,5.1,5.4,3.7,3.6,Cloud Engineer
6.96,77.6,7.5,6.4,6.9,5.7,5.5,Cloud Engineer
8.41,85.2,7.4,8.7,5.8,3.4,6.2,Data Scientist
8.45,71.4,5.9,8.3,3.5,4.1,4.4,Cloud Engineer
8.99,85.8,10.0,8.5,5.7,3.9,6.0,Data Scientist
7.66,80.4,9.2,8.8,4.5,5.3,5.7,Full-Stack Developer
