CGPA,Aptitude_Score,Programming_Skill,Data_Structures_Skill,Communication_Rating,Public_Speaking,Creative_Thinking,Recommended_Role
9.3,88.1,9.4,6.5,5.0,5.9,8.3,Data Scientist
6.14,62.6,6.2,3.1,9.6,8.4,10.0,Product Manager
8.28,66.5,4.2,5.0,8.8,8.3,8.7,Product Manager
8.43,84.2,7.4,6.0,5.1,6.7,4.5,Cyber Security Analyst
8.03,68.3,7.7,6.9,6.3,6.6,4.9,Cloud Engineer
7.9,89.6,5.9,6.3,5.7,2.6,2.9,Cyber Security Analyst
8.38,66.8,9.8,9.3,5.0,4.5,6.8,Data Scientist
8.72,73.6,7.5,9.2,5.2,5.6,5.3,Cloud Engineer
8.13,85.6,4.1,5.2,9.3,10.0,7.5,Product Manager
9.01,89.0,6.6,4.8,7.6,5.3,4.1,Cyber Security Analyst
8.98,73.4,9.3,8.4,5.9,4.1,5.0,Full-Stack Developer
7.54,68.9,9.3,8.8,4.3,3.7,7.2,Full-Stack Developer
9.08,81.4,8.4,7.5,3.4,4.7,7.2,Data Scientist
7.09,68.9,3.7,4.6,9.1,8.5,7.8,Product Manager
6.3,100.0,7.7,6.5,3.1,2.9,3.2,Cyber Security Analyst
6.23,71.0,3.7,3.9,9.5,8.6,7.7,Product Manager
6.98,54.6,4.4,4.7,9.5,8.3,8.1,Product Manager
7.65,96.1,8.5,6.4,6.2,5.1,5.5,Cyber Security Analyst
8.11,74.0,10.0,9.7,4.2,3.4,5.1,Full-Stack Developer
8.81,79.8,7.4,6.7,5.7,2.8,6.6,Data Scientist
7.05,54.9,3.3,2.5,9.7,7.3,9.9,UI/UX Designer
6.78,79.5,9.9,8.9,3.1,3.3,5.3,Full-Stack Developer
7.19,59.3,4.2,3.0,9.2,9.6,9.7,Product Manager
7.0,54.0,3.8,1.9,9.8,6.3,10.0,UI/UX Designer
6.2,74.9,5.3,3.4,8.9,8.8,10.0,UI/UX Designer
6.96,77.6,5.5,6.0,6.8,6.5,4.6,Cloud Engineer
6.16,62.9,5.5,3.0,10.0,9.3,7.7,Product Manager
9.41,85.3,9.1,9.5,5.0,3.6,5.6,Data Scientist
8.43,72.4,4.2,2.8,10.0,9.3,7.6,Product Manager
6.99,60.1,2.1,3.6,10.0,6.1,9.7,UI/UX Designer
5.86,53.5,2.2,1.9,8.8,7.5,10.0,UI/UX Designer
8.38,80.7,7.4,7.3,6.5,4.9,5.0,Cloud Engineer
8.23,84.8,8.3,6.0,6.3,4.7,4.1,Cyber Security Analyst
5.92,65.4,2.3,2.3,10.0,7.7,9.1,UI/UX Designer
7.21,77.9,7.4,6.5,5.1,6.3,4.8,Cloud Engineer
7.8,61.8,4.3,4.0,9.3,9.1,7.8,Product Manager
6.36,64.5,3.4,2.5,9.8,9.3,7.8,Product Manager
8.17,83.6,7.6,8.0,4.9,4.8,5.9,Cyber Security Analyst
8.05,97.3,7.0,5.3,5.2,3.4,3.8,Cyber Security Analyst
7.41,58.2,5.8,3.2,9.0,9.3,9.5,Product Manager
6.73,77.8,5.4,4.2,9.3,9.1,8.0,Product Manager
7.93,97.4,8.9,7.7,6.8,2.4,6.2,Data Scientist
8.48,88.5,7.4,4.7,6.9,4.5,5.8,Cyber Security Analyst
5.73,63.8,3.7,3.3,10.0,9.9,8.9,Product Manager
6.71,61.1,3.0,1.7,9.6,7.1,8.7,UI/UX Designer
8.01,63.3,4.9,2.8,7.9,7.7,9.0,UI/UX Designer
8.73,69.5,5.2,5.2,5.2,5.9,5.8,Cloud Engineer
8.32,68.4,5.2,3.5,9.3,8.2,9.1,Product Manager
8.08,94.1,8.5,7.9,4.6,5.8,6.4,Data Scientist
8.98,79.2,6.9,7.1,8.0,6.0,6.8,Cloud Engineer
7.17,71.7,9.2,10.0,4.7,3.9,4.3,Full-Stack Developer
7.88,82.8,7.2,7.1,6.9,6.6,5.4,Cloud Engineer
6.46,44.1,2.6,3.2,8.8,7.4,9.5,UI/UX Designer
7.89,91.6,6.2,6.9,7.8,4.0,3.3,Cyber Security Analyst
8.43,80.9,6.5,6.7,6.5,4.3,7.1,Cloud Engineer
6.41,74.0,8.9,9.6,4.1,2.9,5.4,Full-Stack Developer
8.49,84.9,9.6,4.9,6.1,7.1,4.7,Cloud Engineer
8.33,85.1,5.8,7.3,5.3,5.6,5.6,Cloud Engineer
7.39,52.0,4.7,2.6,9.1,8.4,8.1,Product Manager
6.71,71.4,2.9,4.5,9.7,9.4,9.1,Product Manager
7.87,86.8,8.3,5.3,6.9,5.3,6.5,Cloud Engineer
7.91,49.2,4.0,3.9,9.1,8.2,8.7,Product Manager
7.43,81.0,6.8,8.4,5.9,5.2,5.3,Cyber Security Analyst
6.81,71.4,3.5,1.0,9.0,8.1,8.8,Product Manager
8.37,66.6,2.6,1.8,8.2,8.2,8.9,UI/UX Designer
6.8,51.0,3.4,3.2,8.3,7.4,9.6,UI/UX Designer
7.76,96.4,9.2,5.3,5.6,6.6,3.4,Cyber Security Analyst
8.33,92.6,8.7,8.0,4.3,6.0,4.9,Cyber Security Analyst
7.7,73.0,5.7,7.1,6.0,5.5,5.0,Cloud Engineer
9.17,76.3,8.7,7.8,4.8,3.1,5.8,Data Scientist
6.57,78.9,3.3,2.3,9.1,9.1,7.9,Product Manager
7.21,50.4,4.7,5.6,10.0,8.2,8.4,Product Manager
8.97,87.3,10.0,9.2,5.0,5.1,6.7,Data Scientist
7.58,98.5,8.4,7.7,4.6,5.5,8.4,Data Scientist
9.48,84.6,8.3,8.5,5.9,4.8,6.9,Data Scientist
8.1,79.4,8.4,6.6,5.8,4.1,7.1,Data Scientist
7.74,95.0,8.2,7.2,5.7,2.0,9.4,Data Scientist
7.54,77.1,9.4,8.5,2.8,4.6,5.8,Full-Stack Developer
8.55,77.6,8.5,9.5,4.8,2.9,6.6,Data Scientist
6.66,76.9,6.9,4.6,5.4,5.3,4.3,Cloud Engineer
7.77,77.2,6.1,5.4,6.4,6.8,5.8,Cloud Engineer
9.08,89.5,9.1,7.1,6.0,4.3,6.7,Data Scientist
8.03,81.7,8.4,7.8,5.8,4.7,6.9,Data Scientist
8.75,75.7,8.2,6.3,7.5,4.8,6.8,Cloud Engineer
8.26,72.1,10.0,7.4,5.0,6.2,7.7,Data Scientist
5.94,53.9,4.1,5.1,9.0,6.3,9.8,UI/UX Designer
6.63,73.9,3.7,4.1,9.7,9.6,8.8,Product Manager
6.75,51.5,2.0,3.4,8.8,5.9,10.0,UI/UX Designer
7.59,67.4,3.5,1.8,9.2,8.4,9.5,UI/UX Designer
7.23,86.1,7.1,6.1,6.2,6.7,4.5,Cyber Security Analyst
7.64,73.3,4.4,8.4,5.8,5.5,5.4,Cloud Engineer
8.88,86.7,8.2,7.5,6.6,4.6,6.9,Data Scientist
8.24,70.6,7.2,5.8,8.5,5.8,5.5,Cloud Engineer
8.73,84.9,7.6,5.9,6.7,6.4,4.0,Cyber Security Analyst
8.29,89.5,9.1,8.7,4.1,4.1,6.4,Data Scientist
9.01,90.2,7.3,7.2,4.4,4.7,7.3,Data Scientist
6.9,70.8,9.4,9.4,5.9,3.3,5.0,Full-Stack Developer
7.78,70.7,6.6,7.7,5.7,5.6,8.0,Cloud Engineer
6.88,71.5,4.3,5.4,9.5,9.5,8.7,Product Manager
7.1,88.5,6.6,8.2,6.7,4.9,6.7,Data Scientist
8.16,75.1,10.0,8.4,5.0,2.7,5.9,Data Scientist
8.93,97.8,8.0,5.9,6.2,3.5,4.2,Cyber Security Analyst
8.1,55.0,3.8,3.2,8.6,8.9,10.0,UI/UX Designer
7.99,81.2,8.6,8.1,6.2,5.0,5.6,Data Scientist
9.28,91.2,8.5,10.0,4.6,4.1,7.5,Data Scientist
6.06,69.3,3.2,1.9,7.7,7.0,9.6,UI/UX Designer
7.64,62.9,10.0,7.9,5.1,3.7,5.8,Full-Stack Developer
7.84,95.5,7.4,5.9,8.7,4.5,2.3,Cyber Security Analyst
8.31,74.5,7.3,6.3,4.4,5.0,4.8,Cloud Engineer
7.71,92.1,7.5,6.6,5.1,5.2,3.0,Cyber Security Analyst
7.73,60.9,3.9,2.9,9.4,8.4,8.5,Product Manager
7.01,67.4,9.2,8.6,4.4,5.5,6.0,Full-Stack Developer
8.11,89.7,9.3,6.6,4.6,5.4,6.0,Cyber Security Analyst
7.38,82.1,6.8,6.6,5.9,5.8,6.4,Cloud Engineer
6.04,48.3,3.2,4.0,7.7,8.5,9.0,UI/UX Designer
6.9,52.1,5.1,3.0,9.4,6.7,9.3,UI/UX Designer
8.24,90.3,6.5,7.1,5.4,5.6,4.1,Cyber Security Analyst
6.99,54.4,1.4,3.5,9.5,7.2,9.9,UI/UX Designer
7.94,81.1,8.0,6.9,8.8,6.4,4.1,Cyber Security Analyst
7.96,88.7,9.4,8.1,4.9,5.1,6.6,Data Scientist
8.21,80.4,10.0,7.9,6.1,3.5,6.1,Data Scientist
8.4,63.1,2.7,3.4,9.1,8.1,8.4,Product Manager
7.36,98.4,7.8,5.3,7.4,3.9,3.7,Cyber Security Analyst
8.85,82.3,8.5,7.7,6.3,4.6,5.8,Data Scientist
8.61,93.9,6.1,4.4,5.5,4.7,4.0,Cyber Security Analyst
7.86,72.4,9.5,8.6,4.8,5.7,6.1,Full-Stack Developer
7.75,77.5,6.5,7.4,7.5,6.3,4.8,Cloud Engineer
7.77,88.1,6.6,5.1,6.2,4.3,5.3,Cyber Security Analyst
7.45,76.3,7.6,6.1,6.6,3.8,6.5,Cloud Engineer
6.33,50.6,3.4,3.8,9.2,8.3,9.5,UI/UX Designer
8.51,77.9,9.6,8.9,4.9,5.0,4.6,Full-Stack Developer
6.94,84.8,8.0,7.9,5.7,4.3,3.9,Cyber Security Analyst
9.01,80.2,7.9,7.0,5.9,5.3,7.0,Data Scientist
8.45,85.7,8.0,7.5,7.2,5.1,7.0,Data Scientist
7.11,67.3,4.0,2.0,8.6,8.3,9.8,UI/UX Designer
7.86,66.2,8.8,8.7,4.9,2.9,4.4,Full-Stack Developer
7.98,94.2,8.3,4.9,6.2,4.9,6.3,Cyber Security Analyst
5.33,56.7,4.8,3.8,9.4,8.8,8.6,Product Manager
8.55,100.0,6.4,6.9,6.0,5.2,4.7,Cyber Security Analyst
7.64,80.4,8.8,6.4,8.4,4.6,5.9,Cloud Engineer
7.42,41.8,3.8,2.0,8.9,9.2,7.9,UI/UX Designer
9.35,74.6,7.3,8.9,4.6,4.1,5.6,Data Scientist
7.07,60.7,4.2,3.6,9.9,7.7,9.8,UI/UX Designer
7.72,84.3,7.8,7.0,7.8,7.7,6.6,Cloud Engineer
7.36,79.1,8.3,9.6,3.7,4.4,5.2,Full-Stack Developer
9.79,81.7,7.2,6.0,4.9,3.9,3.4,Cyber Security Analyst
6.99,77.6,3.9,3.3,9.2,9.3,9.8,UI/UX Designer
6.91,64.1,6.2,2.5,10.0,8.0,8.0,Product Manager
8.47,82.3,5.1,5.5,5.7,5.7,7.3,Cloud Engineer
7.59,71.6,9.6,9.0,5.7,4.6,5.5,Full-Stack Developer
7.69,71.4,9.4,9.0,4.7,2.9,6.5,Full-Stack Developer
6.66,76.6,8.9,8.5,4.8,3.1,4.9,Full-Stack Developer
8.54,74.3,6.8,6.0,7.7,5.8,6.0,Cloud Engineer
8.5,74.5,9.7,8.6,3.9,3.1,4.2,Full-Stack Developer
9.94,78.0,8.8,9.3,5.1,3.3,6.0,Data Scientist
9.15,92.2,9.0,8.3,5.9,5.8,5.8,Data Scientist
8.89,85.0,8.2,8.8,4.7,3.8,6.7,Data Scientist
6.83,81.6,7.5,6.4,7.1,4.2,4.4,Cloud Engineer
5.66,53.2,4.3,3.5,9.9,8.3,8.8,UI/UX Designer
7.55,99.3,7.7,6.6,4.7,3.1,2.6,Cyber Security Analyst
7.82,76.6,8.0,6.5,6.0,6.6,5.2,Cloud Engineer
6.86,68.6,3.2,3.9,9.4,9.7,8.2,Product Manager
7.58,83.9,5.6,6.0,6.5,4.5,5.6,Cyber Security Analyst
7.85,82.4,8.6,9.6,6.1,4.0,7.8,Data Scientist
8.89,83.4,7.3,5.9,5.9,5.8,5.0,Cloud Engineer
7.61,92.2,8.9,9.5,4.9,3.0,6.1,Data Scientist
6.56,57.6,2.5,4.4,9.7,6.8,9.0,UI/UX Designer
7.84,89.0,9.1,7.1,5.5,4.9,5.2,Cyber Security Analyst
6.79,80.9,9.7,9.8,5.1,2.5,6.7,Full-Stack Developer
9.22,85.1,9.3,6.9,7.3,3.7,7.2,Data Scientist
5.79,64.3,3.2,2.0,9.2,7.3,9.9,UI/UX Designer
8.51,77.2,7.5,5.0,5.1,7.1,5.2,Cloud Engineer
7.59,89.4,8.5,6.8,5.5,6.3,6.5,Data Scientist
8.31,96.3,7.6,7.3,6.8,5.0,3.5,Cyber Security Analyst
6.62,60.2,3.9,4.2,9.5,8.6,8.4,Product Manager
8.59,85.3,9.7,7.0,5.5,3.5,7.8,Data Scientist
6.96,58.9,2.3,2.8,9.3,7.4,9.7,UI/UX Designer
6.08,74.2,3.9,2.7,9.2,9.4,10.0,Product Manager
8.69,82.0,9.3,9.0,2.2,5.0,6.1,Data Scientist
7.41,77.4,7.5,6.6,7.1,4.9,5.8,Cloud Engineer
6.91,73.0,7.1,6.8,5.2,5.0,6.1,Cloud Engineer
6.91,66.0,2.9,4.8,9.5,9.0,9.6,UI/UX Designer
7.02,66.6,2.4,2.7,8.9,10.0,9.4,Product Manager
8.19,57.1,2.3,3.4,9.0,6.3,9.7,UI/UX Designer
7.52,63.0,9.9,8.8,4.4,6.0,5.0,Full-Stack Developer
7.95,54.9,5.1,3.0,8.9,9.5,7.6,Product Manager
9.16,80.8,9.8,8.4,6.2,3.1,5.7,Data Scientist
7.82,69.3,3.0,2.9,9.9,8.6,8.1,Product Manager
9.03,86.0,7.3,7.8,7.3,4.7,6.7,Data Scientist
7.65,84.0,6.8,6.4,8.6,4.9,5.3,Cloud Engineer
7.66,78.8,3.3,2.8,9.8,9.1,8.3,Product Manager
6.5,85.8,6.7,5.3,7.4,5.8,6.4,Cloud Engineer
6.63,78.7,9.5,10.0,3.7,4.8,5.6,Full-Stack Developer
6.69,58.5,5.1,2.8,9.4,9.0,8.6,Product Manager
6.95,87.1,7.5,6.6,6.2,4.3,3.0,Cyber Security Analyst
8.03,92.1,8.4,7.7,6.5,5.3,5.5,Cyber Security Analyst
7.85,62.7,6.0,7.0,6.0,4.6,4.9,Cloud Engineer
8.92,79.5,6.0,5.4,7.6,6.1,5.9,Cloud Engineer
6.93,73.4,6.7,4.5,9.8,8.9,9.3,Product Manager
6.64,48.1,2.1,2.0,8.6,7.0,9.1,UI/UX Designer
6.74,64.6,3.4,2.2,9.7,9.0,9.3,Product Manager
8.1,78.2,6.0,7.0,6.3,6.0,5.4,Cloud Engineer
7.86,82.7,8.0,6.6,6.7,5.1,4.7,Cloud Engineer
8.11,77.5,3.4,2.9,9.4,9.0,7.5,Product Manager
7.21,74.7,9.7,9.5,5.8,2.4,4.8,Full-Stack Developer
8.38,100.0,7.7,8.3,5.4,4.8,6.7,Data Scientist
8.44,86.9,6.5,5.0,6.3,4.8,5.8,Cloud Engineer
7.63,59.6,4.7,3.3,7.9,8.3,9.6,UI/UX Designer
8.22,94.9,9.7,9.1,5.4,3.5,8.6,Data Scientist
7.1,74.6,8.7,9.6,4.6,2.7,6.6,Full-Stack Developer
9.31,83.4,7.4,8.0,4.8,4.1,10.0,Data Scientist
7.33,85.9,9.2,9.5,5.5,5.5,7.1,Full-Stack Developer
7.07,69.3,6.9,7.3,6.2,3.4,4.3,Cloud Engineer
7.9,68.3,1.9,3.3,8.9,7.7,9.8,UI/UX Designer
7.39,58.3,9.5,9.7,5.5,4.0,3.7,Full-Stack Developer
6.63,73.2,9.3,9.6,4.7,3.1,4.8,Full-Stack Developer
6.05,57.1,3.3,1.9,8.6,8.1,9.5,UI/UX Designer
7.09,82.9,8.3,8.4,2.1,1.6,7.8,Data Scientist
7.16,95.0,8.9,4.4,5.3,5.8,6.2,Cyber Security Analyst
8.86,82.9,6.5,6.5,6.2,5.4,3.8,Cyber Security Analyst
7.75,75.6,7.5,8.1,7.5,5.2,4.6,Cloud Engineer
6.54,67.2,4.1,2.5,10.0,7.9,9.9,UI/UX Designer
8.2,62.9,5.6,2.8,7.7,8.3,9.5,Product Manager
8.23,69.5,9.4,8.6,4.6,4.5,4.1,Full-Stack Developer
8.53,94.5,8.7,6.9,3.2,4.6,6.2,Data Scientist
8.34,100.0,8.2,7.5,5.7,4.6,6.1,Data Scientist
8.86,81.9,9.5,10.0,6.0,3.7,5.3,Full-Stack Developer
6.17,52.6,4.4,3.0,8.5,9.6,9.2,UI/UX Designer
7.73,81.4,9.2,8.4,4.7,4.7,7.9,Data Scientist
6.96,50.9,4.9,3.2,9.0,8.6,8.1,Product Manager
7.2,78.3,7.4,5.6,5.6,5.1,6.9,Cloud Engineer
7.68,66.3,9.5,9.9,6.8,3.1,4.7,Full-Stack Developer
7.33,87.9,8.5,5.9,5.9,5.0,4.1,Cyber Security Analyst
7.1,93.4,8.1,4.7,6.8,5.3,4.6,Cyber Security Analyst
6.96,75.9,10.0,6.5,6.7,4.5,4.4,Cloud Engineer
7.59,70.6,9.5,8.3,5.8,3.2,3.1,Full-Stack Developer
6.52,65.3,3.0,4.6,9.0,9.3,7.4,Product Manager
7.47,71.1,3.2,5.0,8.7,8.5,9.7,Product Manager
7.54,68.5,3.6,4.1,9.4,8.6,9.5,UI/UX Designer
8.66,82.7,8.1,7.2,4.8,3.8,5.9,Data Scientist
8.3,91.3,8.3,7.4,4.0,5.3,5.5,Cyber Security Analyst
7.06,53.4,5.2,3.6,8.4,6.9,8.9,UI/UX Designer
6.74,75.3,3.8,3.1,9.4,9.2,8.3,Product Manager
7.6,73.9,9.8,9.5,5.2,4.3,6.8,Full-Stack Developer
6.74,57.7,4.0,4.0,9.8,6.3,9.3,UI/UX Designer
8.75,97.7,7.7,6.7,10.0,4.7,4.8,Cyber Security Analyst
7.73,68.4,3.8,2.7,10.0,9.0,10.0,Product Manager
8.03,85.0,9.4,9.8,3.4,4.1,6.1,Data Scientist
8.35,83.7,9.3,7.9,7.3,5.6,6.1,Data Scientist
7.45,75.2,9.2,9.7,4.4,5.8,4.9,Full-Stack Developer
7.94,75.5,9.6,8.5,5.4,4.2,4.7,Full-Stack Developer
8.45,60.8,9.5,9.1,4.8,4.1,6.6,Full-Stack Developer
